,PLAYER,TEAM,GP_x,MPG_x,OFF_x,ORPG_x,DEF_x,DRPG_x,REB_x,RPG_x,RP40_x,GP_y,MPG_y,OFF_y,ORPG_y,DEF_y,DRPG_y,REB_y,RPG_y,RP40_y,GP_x,PPG_x,FGM_x,FGA_x,FGM_x,FGA_x,FG%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x,GP_y,PPG_y,FGM_y,FGA_y,FGM_y,FGA_y,FG%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y,GP_x,PPG_x,FTM_x,FTA_x,FTM_x,FTA_x,FT%_x,GP_y,PPG_y,FTM_y,FTA_y,FTM_y,FTA_y,FT%_y,GP_x,PPG_x,3PM_x,3PA_x,3PM_x,3PA_x,3P%_x,2PM_x,2PA_x,2P%_x,PPS_x,FG%_x,GP_y,PPG_y,3PM_y,3PA_y,3PM_y,3PA_y,3P%_y,2PM_y,2PA_y,2P%_y,PPS_y,FG%_y,GP_x,MPG_x,AST_x,APG_x,TO_x,TOPG_x,AP40M_x,AST/TO_x,GP_y,MPG_y,AST_y,APG_y,TO_y,TOPG_y,AP40M_y,AST/TO_y,GP_x,MPG_x,STL_x,STPG_x,STP40M_x,TO_x,TOPG_x,PF_x,ST/TO_x,ST/PF_x,GP_y,MPG_y,STL_y,STPG_y,STP40M_y,TO_y,TOPG_y,PF_y,ST/TO_y,ST/PF_y,GP_x,MPG_x,BLK_x,PF_x,BLKPG_x,BLKP40M_x,BLK/PF_x,GP_y,MPG_y,BLK_y,PF_y,BLKPG_y,BLKP40M_y,BLK/PF_y,GP_x,MPG_x,PTS_x,FGM-FGA_x,FG%_x,3PM-3PA_x,3P%_x,FTM-FTA_x,FT%_x,GP_y,MPG_y,PTS_y,FGM-FGA_y,FG%_y,3PM-3PA_y,3P%_y,FTM-FTA_y,FT%_y,GP_x,MPG_x,PTS_x,FGM-FGA_x,FG%_x,3PM-3PA_x,3P%_x,FTM-FTA_x,FT%_x,GP_y,MPG_y,PTS_y,FGM-FGA_y,FG%_y,3PM-3PA_y,3P%_y,FTM-FTA_y,FT%_y
30,Brandon Davies,BYU,2,34.0,7,3.5,20,10.0,27,13.5,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34.0,4,2.00,2.35,8,4.00,7,0.50,0.57,,,,,,,,,,,2,34.0,4,7,2.00,2.35,0.57,,,,,,,,2,34.0,18.5,7.5-14.5,.517,0.0-0.5,.000,3.5-8.0,.438,32,28.9,17.6,6.4-12.0,.533,0.1-0.4,.308,4.8-7.0,.676,4,32.0,73,25-56,.446,1-1,1.000,22-30,.733,32,28.9,564,204-383,.533,4-13,.308,152-225,.676
31,Brandon Roy,WASH,1,27.0,3,3.0,6,6.0,9,9.0,13.3,,,,,,,,,,1,7.0,3.0,5.0,3,5,.600,3,4,.750,1.40,.600,23,12.4,4.9,8.8,112,202,.554,106,186,.570,1.42,.569,,,,,,,,,,,,,,,3,23.0,1.7,4,5,11,.455,18,37,.486,1.44,.531,,,,,,,,,,,,,1,27.0,7,7.0,1,1.0,10.4,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,35.3,23.0,7.7-16.0,.479,1.7-3.7,.455,6.0-7.7,.783,30,31.3,19.9,6.8-13.4,.511,1.1-2.9,.395,5.1-6.3,.814,3,26.0,46,19-30,.633,1-4,.250,7-9,.778,30,31.3,597,205-401,.511,34-86,.395,153-188,.814
32,Brian Cook,ILL,2,35.0,4,2.0,22,11.0,26,13.0,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18.0,5.5,6.0,11,12,.917,32,13.4,2.9,3.3,93,107,.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35.0,2,6,1.00,1.14,0.33,32,28.6,45,104,1.41,1.97,0.43,2,35.0,18.0,6.0-18.5,.324,0.5-2.5,.200,5.5-6.0,.917,28,31.1,20.1,6.8-13.8,.494,0.9-3.0,.310,5.6-6.9,.813,2,35.0,36,12-37,.324,1-5,.200,11-12,.917,28,31.1,563,190-385,.494,26-84,.310,157-193,.813
33,Brice Johnson,UNC,6,32.0,16,2.7,40,6.7,56,9.3,11.7,35,24.8,82,2.3,189,5.4,271,7.7,12.5,2,9.0,4.0,6.5,8,13,.615,8,13,.615,1.38,.615,32,10.4,4.4,7.9,142,252,.563,142,252,.563,1.32,.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11.5,4,4,2.00,6.96,1.00,,,,,,,,6,32.0,19.0,6.8-11.2,.612,0.0-0.0,.000,5.3-6.5,.821,,,,,,,,,,6,32.0,114,41-67,.612,0-0,.000,32-39,.821,34,27.3,564,226-368,.614,0-0,.000,112-145,.772
34,Brook Lopez,STAN,1,33.0,3,3.0,4,4.0,7,7.0,8.5,24,31.5,71,3.0,134,5.6,205,8.5,10.9,1,18.0,8.0,15.0,8,15,.533,8,15,.533,1.20,.533,,,,,,,,,,,,,3,20.0,6.0,6.3,18,19,.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25.3,4,6,1.33,2.11,0.67,25,24.8,45,68,1.80,2.90,0.66,1,33.0,18.0,8.0-15.0,.533,0.0-0.0,.000,2.0-4.0,.500,24,31.5,19.2,6.8-14.5,.467,0.0-0.3,.000,5.6-7.3,.771,3,25.3,60,21-44,.477,0-0,.000,18-19,.947,,,,,,,,,
35,Caleb Swanigan,PUR,1,23.0,1,1.0,9,9.0,10,10.0,17.4,33,25.8,53,1.6,219,6.6,272,8.2,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18.0,2.3,4,7,13,.538,12,28,.429,1.32,.549,,,,,,,,,,,,,3,35.7,15,5.0,12,4.0,5.6,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,35.7,4,4,1.33,1.50,1.00,,,,,,,,,,,,,,,,,32,32.3,18.5,6.3-11.9,.534,1.0-2.3,.431,4.8-6.1,.791,3,35.7,54,19-41,.463,7-13,.538,9-14,.643,32,32.3,592,203-380,.534,31-72,.431,155-196,.791
36,Carl Landry,PUR,2,38.5,10,5.0,13,6.5,23,11.5,11.9,,,,,,,,,,2,19.5,7.0,12.0,14,24,.583,13,23,.565,1.63,.604,25,18.2,6.4,10.4,160,259,.618,156,241,.647,1.76,.625,2,19.5,5.0,6.5,10,13,.769,5,15.2,5.2,6.2,26,31,.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,38.5,19.5,7.0-12.0,.583,0.5-0.5,1.000,5.0-6.5,.769,25,30.3,18.2,6.4-10.4,.618,0.2-0.7,.222,5.3-7.8,.677,2,38.5,39,14-24,.583,1-1,1.000,10-13,.769,32,29.9,604,205-343,.598,3-18,.167,191-264,.723
37,Carlos Boozer,DUKE,3,28.3,15,5.0,8,2.7,23,7.7,10.8,32,28.4,104,3.3,176,5.5,280,8.8,12.3,3,17.0,6.7,10.3,20,31,.645,20,31,.645,1.65,.645,32,18.3,6.6,9.8,210,315,.667,210,314,.669,1.86,.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,28.3,17.0,6.7-10.3,.645,0.0-0.0,.000,3.7-6.0,.611,32,28.4,18.3,6.6-9.8,.667,0.0-0.0,.000,5.2-6.8,.766,3,28.3,51,20-31,.645,0-0,.000,11-18,.611,32,28.4,587,210-315,.667,0-1,.000,167-218,.766
38,Carmelo Anthony,SYR,6,36.3,16,2.7,43,7.2,59,9.8,10.8,29,36.4,85,2.9,205,7.1,290,10.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,20.2,1.7,4,10,21,.476,37,78,.474,1.22,.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,36.3,20.2,7.8-16.5,.475,1.7-3.5,.476,2.8-4.5,.630,29,36.4,22.7,7.9-17.7,.448,1.6-5.0,.317,5.2-7.3,.716,6,36.3,121,47-99,.475,10-21,.476,17-27,.630,29,36.4,657,230-513,.448,46-145,.317,151-211,.716
39,Caron Butler,CONN,4,37.3,14,3.5,15,3.8,29,7.3,7.8,,,,,,,,,,4,26.5,8.0,14.5,32,58,.552,24,42,.571,1.83,.621,,,,,,,,,,,,,4,26.5,8.5,10.0,34,40,.850,,,,,,,,4,26.5,2.0,4,8,16,.500,24,42,.571,1.83,.621,,,,,,,,,,,,,4,37.3,16,4.0,9,2.3,4.3,1.78,,,,,,,,,,,,,,,,,,,30,35.8,67,2.23,2.50,89,2.97,65,0.75,1.03,,,,,,,,,,,,,,,4,37.3,26.5,8.0-14.5,.552,2.0-4.0,.500,8.5-10.0,.850,30,35.8,19.5,7.4-15.5,.476,0.7-2.0,.373,4.0-5.3,.761,4,37.3,106,32-58,.552,8-16,.500,34-40,.850,30,35.8,585,221-464,.476,22-59,.373,121-159,.761
40,Chandler Parsons,FLA,1,46.0,6,6.0,4,4.0,10,10.0,8.7,32,33.8,70,2.2,181,5.7,251,7.8,9.3,4,8.8,3.5,6.3,14,25,.560,10,13,.769,1.40,.640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,46.0,6,6.0,5,5.0,5.2,1.20,,,,,,,,,1,46.0,2,2.00,1.74,5,5.00,3,0.40,0.67,,,,,,,,,,,,,,,,,,,,,,,,,1,46.0,20.0,8.0-20.0,.400,2.0-8.0,.250,2.0-5.0,.400,,,,,,,,,,4,25.5,35,14-25,.560,4-12,.333,3-10,.300,,,,,,,,,
41,Channing Frye,ARIZ,1,38.0,4,4.0,8,8.0,12,12.0,12.6,28,24.6,80,2.9,136,4.9,216,7.7,12.5,3,14.3,5.0,7.0,15,21,.714,15,21,.714,2.05,.714,28,12.5,5.0,8.5,141,239,.590,141,238,.592,1.46,.590,,,,,,,,33,15.8,3.6,4.2,118,140,.843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38.0,2,2,2.00,2.11,1.00,28,24.6,50,75,1.79,2.90,0.67,4,36.0,15.5,6.5-10.0,.650,0.3-0.5,.500,2.3-3.3,.692,,,,,,,,,,3,28.3,43,15-21,.714,0-0,.000,13-21,.619,33,30.4,522,201-370,.543,2-15,.133,118-140,.843
42,Charlie Villanueva,CONN,2,30.5,6,3.0,13,6.5,19,9.5,12.5,29,25.4,76,2.6,162,5.6,238,8.2,12.9,2,19.0,7.5,12.5,15,25,.600,12,21,.571,1.52,.660,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19.0,1.5,2,3,4,.750,12,21,.571,1.52,.660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,30.5,3,4,1.50,1.97,0.75,26,20.2,43,61,1.65,3.28,0.70,2,30.5,19.0,7.5-12.5,.600,1.5-2.0,.750,2.5-3.5,.714,,,,,,,,,,2,30.5,38,15-25,.600,3-4,.750,5-7,.714,,,,,,,,,
43,Chris Bosh,GT,3,34.0,8,2.7,20,6.7,28,9.3,11.0,28,30.6,87,3.1,163,5.8,250,8.9,11.7,3,18.7,6.3,10.7,19,32,.594,16,28,.571,1.75,.641,28,15.4,5.4,9.6,150,270,.556,131,227,.577,1.60,.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34.0,8,9,2.67,3.14,0.89,28,30.6,58,64,2.07,2.70,0.91,3,34.0,18.7,6.3-10.7,.594,1.0-1.3,.750,5.0-6.7,.750,,,,,,,,,,3,34.0,56,19-32,.594,3-4,.750,15-20,.750,,,,,,,,,
44,Chris Johnson,DAY,1,29.0,6,6.0,2,2.0,8,8.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,14.8,5.2,6.2,26,31,.839,35,11.8,2.4,2.9,83,100,.830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,25.8,74,20-51,.392,8-30,.267,26-31,.839,,,,,,,,,
45,Chris Kaman,CMU,2,32.0,7,3.5,9,4.5,16,8.0,10.0,24,25.2,67,2.8,132,5.5,199,8.3,13.2,,,,,,,,,,,,,24,11.8,4.0,6.6,97,158,.614,97,158,.614,1.79,.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32.0,2,5,1.00,1.25,0.40,24,25.2,39,68,1.63,2.58,0.57,2,32.0,18.5,8.0-15.5,.516,0.0-0.0,.000,2.5-3.5,.714,29,34.2,22.7,7.9-12.4,.632,0.0-0.0,.000,7.0-9.3,.751,2,32.0,37,16-31,.516,0-0,.000,5-7,.714,29,34.2,658,228-361,.632,0-0,.000,202-269,.751
46,Chris Taft,PITT,1,26.0,4,4.0,8,8.0,12,12.0,18.5,33,25.2,102,3.1,144,4.4,246,7.5,11.8,1,13.0,5.0,7.0,5,7,.714,5,7,.714,1.86,.714,28,13.3,5.5,9.5,154,267,.577,154,267,.577,1.40,.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26.0,2,3,2.00,3.08,0.67,28,26.5,48,45,1.71,2.58,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Chris Wright,DAY,1,35.0,5,5.0,8,8.0,13,13.0,14.9,35,28.7,78,2.2,210,6.0,288,8.2,11.5,,,,,,,,,,,,,13,10.4,4.0,6.6,52,86,.605,51,81,.630,1.57,.610,2,10.5,3.5,4.5,7,9,.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14.0,3,4,1.50,4.29,0.75,,,,,,,,1,35.0,21.0,9.0-18.0,.500,0.0-0.0,.000,3.0-5.0,.600,,,,,,,,,,5,29.2,53,18-47,.383,1-4,.250,16-24,.667,,,,,,,,,
48,Chuck Hayes,UK,2,33.0,5,2.5,17,8.5,22,11.0,13.3,30,29.2,93,3.1,144,4.8,237,7.9,10.8,2,9.0,3.5,6.0,7,12,.583,7,12,.583,1.50,.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33.0,11,5.5,8,4.0,6.7,1.38,,,,,,,,,3,23.7,6,2.00,3.38,2,0.67,8,3.00,0.75,30,29.2,55,1.83,2.51,51,1.70,64,1.08,0.86,2,33.0,3,5,1.50,1.82,0.60,30,30.8,42,77,1.40,1.82,0.55,,,,,,,,,,,,,,,,,,,4,29.8,54,24-40,.600,0-0,.000,6-9,.667,,,,,,,,,
49,Cody Zeller,IND,3,30.0,8,2.7,18,6.0,26,8.7,11.6,33,29.4,94,2.8,176,5.3,270,8.2,11.1,,,,,,,,,,,,,33,16.9,5.7,9.9,188,328,.573,188,326,.577,1.70,.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,29.4,16.9,5.7-9.9,.573,0.0-0.1,.000,5.5-7.3,.755,3,30.0,50,19-32,.594,0-0,.000,12-16,.750,33,29.4,558,188-328,.573,0-2,.000,182-241,.755
50,Cole Aldrich,KU,2,26.0,7,3.5,11,5.5,18,9.0,13.8,34,26.8,103,3.0,233,6.9,336,9.9,14.8,2,12.0,5.5,9.0,11,18,.611,11,18,.611,1.33,.611,32,14.6,5.6,9.3,178,296,.601,178,296,.601,1.58,.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26.0,7,3,3.50,5.38,2.33,34,26.8,118,89,3.47,5.18,1.33,3,32.0,17.7,7.0-12.3,.568,0.0-0.0,.000,3.7-5.0,.733,,,,,,,,,,3,32.0,53,21-37,.568,0-0,.000,11-15,.733,,,,,,,,,
51,Courtney Lee,WKU,3,36.3,5,1.7,19,6.3,24,8.0,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16.5,2.0,2.5,4,5,.800,30,17.4,3.3,3.9,100,118,.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,36.3,8,2.67,2.94,9,3.00,7,0.89,1.14,30,31.1,77,2.57,3.30,82,2.73,71,0.94,1.08,3,36.3,5,7,1.67,1.83,0.71,,,,,,,,2,39.5,16.5,6.5-15.0,.433,1.5-4.0,.375,2.0-2.5,.800,30,30.6,17.3,6.2-13.2,.472,1.9-4.7,.401,3.0-3.5,.840,3,36.3,62,22-60,.367,8-17,.471,10-13,.769,30,30.6,520,187-396,.472,57-142,.401,89-106,.840
52,Courtney Sims,MICH,2,25.5,2,1.0,11,5.5,13,6.5,10.2,,,,,,,,,,,,,,,,,,,,,,28,11.6,4.5,7.2,126,202,.624,126,202,.624,1.60,.624,2,7.5,3.5,4.5,7,9,.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25.5,3,4,1.50,2.35,0.75,29,21.8,61,62,2.10,3.85,0.98,,,,,,,,,,,,,,,,,,,5,17.4,36,17-24,.708,0-0,.000,2-4,.500,,,,,,,,,
53,Craig Smith,BC,2,27.0,1,0.5,13,6.5,14,7.0,10.4,29,31.8,95,3.3,135,4.7,230,7.9,10.0,2,21.5,8.5,10.5,17,21,.810,17,21,.810,2.05,.810,29,19.8,7.7,13.1,224,379,.591,221,364,.607,1.51,.595,2,21.5,4.5,5.5,9,11,.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,38.0,7,3.5,7,3.5,3.7,1.00,,,,,,,,,2,27.0,4,2.00,2.96,3,1.50,9,1.33,0.44,,,,,,,,,,,2,38.0,2,5,1.00,1.05,0.40,,,,,,,,2,34.0,21.5,8.5-10.5,.810,0.0-0.0,.000,4.5-5.5,.818,29,31.8,19.8,7.7-13.1,.591,0.1-0.5,.200,4.2-6.3,.672,2,34.0,43,17-21,.810,0-0,.000,9-11,.818,29,31.8,574,224-379,.591,3-15,.200,123-183,.672
54,D.J. Kennedy,SJU,1,38.0,6,6.0,6,6.0,12,12.0,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17.0,8.0,9.0,8,9,.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,28.7,56,1.75,2.44,55,1.72,68,1.02,0.82,,,,,,,,,,,,,,,1,37.0,18.0,6.0-12.0,.500,4.0-9.0,.444,2.0-2.0,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,D.J. White,IND,1,36.0,2,2.0,7,7.0,9,9.0,10.0,32,33.4,98,3.1,234,7.3,332,10.4,12.4,1,22.0,10.0,16.0,10,16,.625,10,16,.625,1.38,.625,28,13.6,5.0,8.7,140,244,.574,140,244,.574,1.56,.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26.0,2,2,2.00,3.08,1.00,28,28.1,62,74,2.21,3.15,0.84,1,36.0,22.0,10.0-16.0,.625,0.0-0.0,.000,2.0-4.0,.500,32,33.4,17.3,6.4-10.7,.604,0.0-0.1,.333,4.4-6.3,.693,,,,,,,,,,32,33.4,553,206-341,.604,1-3,.333,140-202,.693
56,Damion James,TEX,2,32.0,7,3.5,12,6.0,19,9.5,11.9,33,29.4,96,2.9,207,6.3,303,9.2,12.5,,,,,,,,,,,,,,,,,,,,,,,,,1,16.0,7.0,8.0,7,8,.875,,,,,,,,,,,,,,,,,,,,34,13.2,1.0,2,34,76,.447,138,297,.465,1.20,.507,,,,,,,,,,,,,,,,,1,35.0,3,3.00,3.43,0,0.00,5,0.00,0.60,,,,,,,,,,,4,29.8,5,14,1.25,1.68,0.36,,,,,,,,,,,,,,,,,33,30.1,18.0,6.2-12.3,.509,1.1-2.6,.402,4.5-6.7,.667,4,29.8,52,21-46,.457,4-16,.250,6-11,.545,33,30.1,595,206-405,.509,35-87,.402,148-222,.667
57,Dan Gadzuric,UCLA,3,33.7,14,4.7,13,4.3,27,9.0,10.7,,,,,,,,,,3,15.3,7.0,12.7,21,38,.553,21,38,.553,1.21,.553,30,11.3,4.8,8.6,143,258,.554,143,257,.556,1.32,.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,33.7,6,5,2.00,2.38,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,3,33.7,46,21-38,.553,0-0,.000,4-7,.571,,,,,,,,,
58,Daniel Ochefu,VILL,2,24.0,2,1.0,15,7.5,17,8.5,14.2,34,24.0,90,2.6,195,5.7,285,8.4,14.0,6,11.5,5.0,7.2,30,43,.698,30,43,.698,1.60,.698,31,9.7,4.0,6.5,123,201,.612,123,200,.615,1.50,.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24.0,3,3,1.50,2.50,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,6,28.7,69,30-43,.698,0-0,.000,9-12,.750,,,,,,,,,
59,Danny Granger,UNM,1,40.0,3,3.0,9,9.0,12,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,19.0,1.5,3,44,99,.444,134,234,.573,1.65,.601,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29.7,62,2.14,2.88,70,2.41,68,0.89,0.91,1,40.0,1,4,1.00,1.00,0.25,22,32.0,31,69,1.41,1.76,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29.7,550,178-333,.535,44-99,.444,150-198,.758
60,Dante Cunningham,VILL,5,31.6,17,3.4,28,5.6,45,9.0,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28.0,2,2.00,2.86,2,2.00,2,1.00,1.00,,,,,,,,,,,5,31.6,6,17,1.20,1.52,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,5,31.6,83,32-64,.500,0-0,.000,19-24,.792,,,,,,,,,
61,Darius Songaila,WAKE,2,32.5,5,2.5,13,6.5,18,9.0,11.1,32,30.3,71,2.2,187,5.8,258,8.1,10.6,,,,,,,,,,,,,,,,,,,,,,,,,2,18.5,3.0,3.5,6,7,.857,32,17.8,5.8,6.8,187,219,.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32.5,18.5,7.5-15.0,.500,0.5-0.5,1.000,3.0-3.5,.857,32,30.3,17.8,5.9-11.3,.525,0.2-0.5,.333,5.8-6.8,.854,2,32.5,37,15-30,.500,1-1,1.000,6-7,.857,32,30.3,570,189-360,.525,5-15,.333,187-219,.854
62,Darryl Watkins,SYR,1,40.0,2,2.0,5,5.0,7,7.0,7.0,30,29.0,90,3.0,132,4.4,222,7.4,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40.0,2,2.00,2.00,2,2.00,2,1.00,1.00,,,,,,,,,,,3,30.7,10,12,3.33,4.35,0.83,25,14.4,37,54,1.48,4.11,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,David Harrison,COLO,1,36.0,7,7.0,5,5.0,12,12.0,13.3,31,28.2,100,3.2,159,5.1,259,8.4,11.9,1,13.0,5.0,9.0,5,9,.556,5,9,.556,1.44,.556,27,13.9,5.1,8.1,139,218,.638,139,218,.638,1.72,.638,1,26.0,6.0,6.0,6,6,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34.0,7,3,7.00,8.24,2.33,31,28.2,99,109,3.19,4.53,0.91,1,36.0,26.0,10.0-14.0,.714,0.0-0.0,.000,6.0-6.0,1.000,28,31.4,16.8,6.3-10.0,.626,0.0-0.0,.000,4.3-8.1,.527,,,,,,,,,,,,,,,,,,
64,David Lee,FLA,1,23.0,2,2.0,6,6.0,8,8.0,13.9,30,27.7,67,2.2,203,6.8,270,9.0,13.0,1,7.0,3.0,5.0,3,5,.600,3,5,.600,1.40,.600,30,13.5,4.9,8.3,147,250,.588,147,248,.593,1.62,.588,1,9.0,5.0,6.0,5,6,.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23.0,2,2.00,3.48,0,0.00,0,0.00,0.00,,,,,,,,,,,2,33.5,6,9,3.00,3.58,0.67,31,26.0,47,72,1.52,2.33,0.65,2,29.5,19.5,7.0-10.0,.700,0.0-0.0,.000,5.5-6.5,.846,,,,,,,,,,2,29.5,39,14-20,.700,0-0,.000,11-13,.846,,,,,,,,,
65,David West,XAV,2,33.5,4,2.0,13,6.5,17,8.5,10.1,30,34.2,88,2.9,206,6.9,294,9.8,11.5,,,,,,,,,,,,,,,,,,,,,,,,,2,17.0,6.0,8.0,12,16,.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33.5,3,6,1.50,1.79,0.50,30,34.2,74,79,2.47,2.88,0.94,2,33.5,17.0,5.5-13.0,.423,0.0-0.0,.000,6.0-8.0,.750,30,34.2,18.5,6.2-11.4,.541,0.3-0.8,.320,5.9-7.6,.773,,,,,,,,,,30,34.2,555,185-342,.541,8-25,.320,177-229,.773
66,DeAndre' Bembry,JOES,2,40.0,4,2.0,14,7.0,18,9.0,9.0,31,38.6,49,1.6,191,6.2,240,7.7,8.0,,,,,,,,,,,,,,,,,,,,,,,,,2,19.5,5.0,5.5,10,11,.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,40.0,5,2.50,2.50,4,2.00,6,1.25,0.83,31,38.6,60,1.94,2.01,89,2.87,73,0.67,0.82,,,,,,,,,,,,,,,2,40.0,19.5,6.5-14.5,.448,1.5-4.0,.375,5.0-5.5,.909,31,38.6,17.7,6.4-14.9,.432,1.6-4.9,.327,3.3-5.2,.638,,,,,,,,,,31,38.6,550,199-461,.432,50-153,.327,102-160,.638
