,PTS_x,DRPG_x,TOPG_x,PF_x,RPG_x
631,,,2.0,,
801,,,,,
441,,,,,
399,,,,,
780,,,2.0,,
539,,,1.5,,
887,,,,,
619,30.0,,4.0,5.0,
348,,,,,
707,,,,2.0,
717,23.8,,,,
152,,4.8,,,6.6
829,,,,,
884,,,,,
262,,6.5,1.5,7.0,9.0
854,,,,,
722,,,,,
724,18.0,,3.0,4.0,
893,,,,,
868,,,,,
559,,,,,
750,,,2.0,4.0,
861,19.5,,,,
117,19.0,8.7,,8.0,12.0
791,,,,,
774,,,3.0,,
108,21.0,5.5,,,8.3
38,20.2,7.2,,,9.8
386,15.8,,2.5,,
469,,,,,
30,18.5,10.0,,7.0,13.5
1,,6.3,,,9.5
93,24.0,6.0,,2.0,8.0
256,19.0,4.0,,4.0,9.0
29,25.0,6.0,,,12.0
432,,,4.0,,
802,,,,1.0,
857,23.0,,,,
144,,7.0,,,9.0
782,22.3,,4.7,6.0,
697,15.3,,1.5,2.0,
794,,,,,
625,23.7,,,,
491,20.0,,,,
737,23.0,,,,
503,18.8,,2.3,,
372,,,,,
536,,,2.8,11.0,
761,,,2.0,,
31,23.0,6.0,1.0,,9.0
310,,6.4,,,8.6
453,19.0,,8.0,3.0,
147,23.0,8.0,,,12.0
237,22.5,9.0,,,10.0
419,,,,,
300,,4.7,,,8.3
648,,,,,
57,,4.3,,,9.0
454,27.0,,1.7,,
376,,,,,
363,,,,,
886,,,,,
817,,,,,
362,,,,,
689,,,,,
698,19.0,,1.0,2.0,
373,,,,,
661,,,,2.0,
572,18.7,,,,
547,,,,,
166,,4.2,,,8.0
218,,9.0,,,10.0
507,,,,,
315,18.7,5.7,,,6.7
851,,,,,
192,21.0,4.0,5.0,,9.0
412,20.0,,,,
663,,,,,
470,,,,,
183,21.0,9.0,,,13.0
5,,6.0,,,10.0
170,17.0,5.0,,,9.0
293,17.0,6.0,,,9.0
26,,6.3,,,8.3
525,20.5,,,,
880,,,,,
450,27.0,,,,
113,,5.5,5.5,2.0,7.5
96,23.0,8.0,,,11.0
541,,,,,
298,,8.7,,,12.5
734,,,,,
729,,,,,
742,,,,,
204,33.0,11.0,6.0,,12.0
403,,,,,
409,19.5,,,5.0,
645,21.0,,3.5,,
52,,5.5,,,6.5
475,,,1.5,1.0,
674,,,,,
797,,,,,
613,,,,,
415,,,1.0,4.0,
643,17.0,,4.0,,
209,20.5,6.0,1.5,,7.0
681,,,,,
395,15.8,,,,
812,,,,4.0,
877,,,,,
850,,,,,
822,,,,,
672,,,,,
575,,,,,
658,,,,,
628,,,2.5,,
828,,,,,
